beams: 308 frames, digest 2ad7e45a
matrix: 1470 frames, digest aac7c422
decrypt: 1104 frames, digest ea5ea801
burn: 655 frames, digest afdceedf
thunderstorm: 915 frames, digest c8999429
expand: 100 frames, digest ec444246
highlight: 129 frames, digest ebd430f0
print: 818 frames, digest 11e686c1
vhstape: 729 frames, digest c5b9c207
wipe: 138 frames, digest 26c5df75
laseretch: 1348 frames, digest 5b2036bb
blackhole: 892 frames, digest e3788209
spotlights: 619 frames, digest 213d9130
fireworks: 1299 frames, digest dbd6f16e
swarm: 2359 frames, digest 46f1cbf8
crumble: 476 frames, digest e9d68daa
rings: 1398 frames, digest 2642a814
spawn: 148 frames, digest d8f89e57
sandstorm: 219 frames, digest 2707b15f
donut: 385 frames, digest cf5e1e55
